ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Lemery, S.A. de C.V.",Avenida Santa Ana No. 65,Parque Industrial Lerma,52000,Lerma de Villada,México,15051020007,29-mar.-16,"SÓLIDOS: Tabletas, Cápsulas de gelatina dura, Grageas de liberación prolongada; ESTÉRILES: Solución inyectable en jeringa prellenada.",Vigente,"Suspensión temporal de fabricación del 28 de septiembre de 2020 al 27 de
septiembre de 2021",Con fundamento en el Artículo 202 de la Ley General de Salud,Sólidos y Estériles,173300CI110052,01-mar.-17,29-jul.-18,Vencido
"Lemery, S.A. de C.V.",Martires de Río Blanco No. 54,Huichapan,16030,Xochimilco,Ciudad de México,09016020005,20-ago.-13,"SÓLIDOS ORALES INMUNOSUPRESORES: Tabletas,
Grageas, Grageas de liberación prolongada; SÓLIDOS ORALES ONCOLÓGICOS: Tabletas, Grageas, Grageas de liberación prolongada; ESTÉRILES ONCOLÓGICOS: Suspensión inyectable en frasco ámpula, Solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula.",Vigente,"Suspensión temporal de fabricación del 01 de enero de 2022 al 31 de diciembre de
2022",Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales Inmunosupresores, Sólidos orales Oncológicos, Estériles Oncológicos.",163300CI110605,25-nov.-16,04-jun.-18,Vencido
"Liferpal MD, S.A. de C.V.",Refinería No. 1266,Álamo Industrial,44490,Guadalajara,Jalisco,1039000227,No disponible,No disponible,Vigente,"Suspensión temporal del 10 de
diciembre de 2019 al 11 de
diciembre de 2023","Con fundamento en el Artículo 202 de la
Ley General de Salud",N/A,N/A,N/A,N/A,N/A
"Liferpal MD, S.A. de C.V.",Av. de la Exportación No. 309,Parque Industrial Guadalajara,45690,El salto,Jalisco,14070020001,06-jul.-11,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Cápsulas de gelatina dura de liberación prolongada, Granulado, Polvo para reconstituir, Grageas, Grageas de liberación prolongada, Grageas recubiertas; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe, Emulsión; LÍQUIDOS NO ORALES: Shampoo medicinal; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Óvulo, Pomada; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula.",Vigente,Suspensión temporal del área de estériles del 09 de enero del 2021 al 09 de enero del 2022,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos Orales, Líquidos Orales, Líquidos no Orales, Semisólidos.",223300516A0126,02-feb.-23,26-ago.-23,Vigente
"Loeffler, S.A. de C.V.",Prol. Ingenieros Militares No. 76,San Lorenzo Tlaltenango,11210,Miguel Hidalgo,D.F.,09011020013,24-oct.-01,"LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe, Emulsión; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel, Óvulo, Pomada, Pasta.",Revocada,Suspensión definitiva el 20 de mayo de 2022,"Con fundamento en
el  Artículo 380 Fracción XI de la Ley
General de Salud",N/A,N/A,N/A,N/A,N/A
"Mavi Farmacéutica, S.A. de C.V.",Calle 7 No. 386,Pantitlán,08100,Iztacalco,D.F.,09008020003,12-jun.-07,"SÓLIDOS ORALES: Tabletas o comprimidos, tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir. LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe; SEMISÓLIDOS: Crema, Gel.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos.",183300EL531385,28-ene.-21,28-jul.-23,Vigente
"Mavi Farmacéutica, S.A. de C.V.",Osa Menor No. 197,Prado Churubusco,04230,Coyoacan,Ciudad de México,09004020018,04-jul.-17,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos.,CAS/SELS/1682/2021,04-feb.-21,04-ago.-23,Vigente
"Mead Johnson de México, S.de R.L. de C.V.","Av. Revolución No. 1267 Edif. ""B""",Tlacopac,01049,Álvaro Obregón,D.F.,09001020006,13-sep.-04,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Medicamentos Naturales, S.A. de C.V.",Los Salvadores No. 8,Plan de Oriente,45690,Tlaquepaque,Jalisco,14098020002,08-jun.-18,"SÓLIDOS ORALES: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura.",Vigente,Vigente,Ninguna,Sólidos.,"223300CT110156,
223300EL532085",06-mar.-23,06-sep.-25,Vigente
"Medicamentos Naturales, S.A. de C.V.",Manuel Acuña No. 1757,Ladrón de Guevara,44650,Guadalajara,Jalisco,14039020008,26-nov.-01,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Grageas; SEMISÓLIDOS: Ungüento, Pomada.",Revocada,Suspensión definitiva desde el 31 de Mayo de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Medicinas y Medicamentos Nacionales, S.A. de C.V.","Carretera libre Toluca- Atlacomulco Km 13.5, No. 112, Lte-A,",San Cayetano Morelos,50295,Toluca,México,15106020021,17-abr.-20,"SÓLIDOS: Tabletas o comprimidos; SEMISÓLIDOS: Ungüento, Crema y Gel.",Vigente,Vigente,Ninguna,"SÓLIDOS: Tabletas o comprimidos; SEMISÓLIDOS: Ungüento, Crema y Gel.",213300516A0255,19-ago-2021,19-feb.-24,Vigente
"Merck, S.A. de C.V.",Calle 5 No. 7,Fracc. Ind. Alce Blanco,53370,Naucalpan de Juárez,Edo. de México,15057020004,07-jul.-20,"SÓLIDOS ORALES: Tabletas o Comprimidos,  Tabletas recubiertas, Cápsulas de gelatina dura, Granulado, Polvo.  LÍQUIDOS: Solución, Suspensión. ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en jeringa;SÓLIDOS ORALES HORMONALES: Tabletas
o Comprimidos.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Líquidos No orales, Estériles, Sólidos orales Hormonales.",223300516A1495,09-ene.-23,20-ago.-23,Vigente
"MGS Alimentos Preparados de
México, S.A. de C.V.",Oriente Cuatro No. 602,Ciudad Industrial,58200,Morelia,Michoacán,16053020001,29-may.-00,SÓLIDOS ORALES: Polvo para reconstituir.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Micrométrix, S.A. de C.V.",San Lorenzo No. 97,Paraje San Juan,09830,Iztapalapa,Ciudad de México,09009020003,17-ene.-18,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de gelatina dura; SÓLIDOS-HERBOLARIOS: Tabletas
recubiertas.",Vigente,Vigente,Ninguna,Sólidos Sólidos Herbolarios,213300EL530521,28-may.-21,28-nov.-23,Vigente
"Modern Research de México, S.A. de C.V.",Industria Zapatera No. 153,Industrial Zapopan Norte,45130,Zapopan,Jalisco,14120040005,11-nov.-08,"SÓLIDOS ORALES HERBOLARIOS: Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura; LÍQUIDOS ORALES HERBOLARIOS: Solución.",Revocada,Suspensión definitiva el 11 de abril de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Monticello Drug Company, S.A.",Amatista No. 54,Estrella,07810,"Gustavo A.
Madero",D.F.,09007020001,04-sep.-13,"SÓLIDOS ORALES: Tabletas; SEMISÓLIDOS:
Ungüento.",Vigente,Vigente,Ninguna,"Sólidos orales, Semisólidos.",163300ER020166,18-ago.-16,21-feb.-18,Vencido
"More Pharma Corporation, S. de
R.L. de C.V.",Pirul No. 15 Int. A,San Jerónimo Tepetlacalco,54090,Tlalnepantla de Baz,Edo. de México,15104020004,28-ene.-13,"LÍQUIDOS ORALES: Jarabe, Suspensión.",Vigente,"Suspensión temporal del 18 de Octubre de 2017 al 12 de
febrero de 2018",Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Nártex Laboratorios Homeopáticos,
S.A. de C.V.",Calzada Lázaro Cárdenas Oriente No. 770,Eduardo Guerra,27280,Torreón,Coahuila,05035020001,03-jul.-19,"SÓLIDOS: Homeopáticos, Herbolario: Tableta o comprimido, glóbulos;  LÍQUIDOS: Homeopático, Herbolario: Solución, Jarabe; SEMISÓLIDOS: Homeopáticos, Herbolarios: Ungüento, Pomada, Gel.",Vigente,Vigente,Ninguna,"Sólidos: Homeopáticos, Herbolarios; Líquidos: Homeopáticos, Herbolarios; Semisólidos: Homeopáticos, Herbolarios.",223300516A0392,03-may.-22,07-dic.-22,Vencido
"Naturalmedic Quim, S.A. de C.V.",Fray Bartolome de las Casas No. 8509,Tres Cruces,72595,Puebla,Puebla,21114020004,30-ago.-11,"SÓLIDOS ORALES: Tabletas; LÍQUIDOS ORALES:
Solución, Suspensión, Jarabe.",Vigente,Suspensión temporal del 20 de abril de 2018 al 01 de diciembre de 2023,Con fundamento en el Artículo 202 de la Ley General de Salud,Líquidos.,163300516A0942,11-nov.-16,28-abr.-18,Vencido
"Neolpharma, S.A. de C.V.",Blvd. de los Ferrocarriles No. 277,Industrial Vallejo,02300,Azcapotzalco,D.F.,09002020009,08-feb.-16,"SÓLIDOS: Tabletas, Tabletas efervescentes y/o solubles, Tabletas masticables, Tabletas recubiertas, Comprimidos, Comprimidos efervescentes, Cápsulas de gelatina dura, Cápsulas de gelatina blanda,
Granulado, Polvo para reconstituir, Grageas; LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Jalea, Óvulo, Pomada, Pasta; ESTÉRILES: Parenterales de gran volumen solución inyectable en botella de polipropileno, Solución inyectable de pequeño volumen en ampolleta de plástico.",Vigente,Vigente,Ninguna,"Sólidos, Estériles, Líquidos, Semisólidos",203300EL530548,08-ene.-20,08-jul.-22,Vencido
"Nithi Tze, S.A. de C.V.",Kilometro 0.2,"Amomolulco
Ocoayoacac",52740,Ocoyoacac,Edo. de México,15062020005,15-jun.-09,SÓLIDOS ORALES: Tabletas.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
Novag Infancia planta Tizayuca,Carretera San Bartolo Cuautlalpan No. 44,Barrio de Atempa,43800,Tizayuca,Hidalgo,13069020002,09-feb.-18,"SÓLIDOS: Tableta o comprimido, cápsulas, polvos y granulados; LÍQUIDOS: Jarabe, solución y suspensión",Vigente,Vigente,Ninguna,Sólidos y Líquidos.,COFEPRIS-CAS-SELS-18175- 2021,11-oct.-21,11-abr-2024,Vigente
"Novag Infancia, S.A. de C.V.",Calz. de Tlalpan No. 3417,Santa Ursula Coapa,04650,Coyoacan,D.F.,09004020009,06-jul.-18,"SÓLIDOS ORALES: Tabletas sublinguales, Tabletas, Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe;  SEMISÓLIDOS: Crema,
Pomada, Pasta.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales y Semisólidos.",233300516A0474,21-abr.-23,25-nov.-23,Vigente
"Novartis Farmacéutica,S.A. de C.V.",Calz. de Tlalpan No. 1779,San Diego Churubusco,04120,Coyoacan,D.F.,09004020005,19-oct.-11,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Comprimidos, Grageas, Grageas de liberación prolongada; SEMISÓLIDOS: Crema, Ungüento, Gel.",Vigente,"Suspendido del 30 de septiembre de 2021 al 30 de
septiembre de 2023",Con fundamento en el Artículo 202 de la Ley General de Salud,Sólidos orales y Semisólidos.,SLS/04/1232/2011,10-oct.-11,10-abr.-14,Vencido
"Novartis Farmacéutica,S.A. de C.V.",La Candelaria No. 186 Local A,Atlántida,04370,Coyoacan,D.F.,09004020036,08-may.-12,SÓLIDOS ORALES: Comprimidos.,Revocada,Suspención definitiva  a partir del 03 de Octubre de 2019.,Con fundamento en el Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Nucitec, S.A. de C.V.",Comerciantes No. 15 Nave 3,Peñuelas,76148,Querétaro,Querétaro,22014020003,31-may.-02,"SÓLIDOS ORALES: Tabletas, Polvo para reconstituir; SÓLIDOS NO ORALES: Polvo tópico; LÍQUIDOS
ORALES: Solución, Suspensión, Jarabe.",Vigente,Suspensión de trabajos y servicios,"Con fundamento en los Artículos 402, 404,
412 y 414 de la Ley General de Salud.",N/A,N/A,N/A,N/A,N/A
"Nucitec, S.A. de C.V.",Av. Jurica No. 116,Parque Industrial Queréretaro,76220,Querétaro,Querétaro,22014020006,02-mar.-20,"SÓLIDOS: Tabletas o comprimidos, Tabletas
Recubiertas, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos",223300EL531725,13-abr.-23,13-oct.-25,Vigente
"Octapharma, S.A. de C.V.",Calz. México Tacuba No. 1419,Argentina Poniente,11230,Miguel Hidalgo,D.F.,09011020018,23-feb.-16,ESTÉRILES HEMODERIVADOS: Solución inyectable en frasco ámpula.,Vigente,Vigente,Ninguna,Estériles Hemoderivados,183501CI110038,03-jul.-18,04-mar.-19,Vencido
"Offenbach Mexicana, S.A. de C.V.",Acueducto No. 15,Reforma Social,11650,Miguel Hidalgo,Ciudad de México,09011020021,13-may.-19,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada.",Vigente,Vigente,Ninguna,"Sólidos, Semisólidos",223300EL530686,12-jul.-22,12-ene.-25,Vigente
"Olnatura, S.A. de C.V.","Calle 40 Sur esq. 9 este, Mz. 8",Civac,62500,Jiutepec,Morelos,17011020006,28-sep.-22,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de gelatina dura; SÓLIDOS HERBOLARIOS: Tabletas o Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir; SEMISÓLIDOS HERBOLARIOS: Crema, Ungüento, Gel.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos orales Herbolarios y Semisólidos Herbolarios.",233300516A0171,14-feb.-23,07-sep.-23,Vigente
"Omni Prime Pack, S.A. de C.V.",Morelos No. 51,El Puente,05080,Cuajimalpa,D.F.,09005050001,13-dic.-19,"Acondicionamiento Primario: Llenado de Cápsula de
gelatina dura.",Vigente,Vigente,Ninguna,Sólidos,213300516A0851,30-jul.-21,29-mar.-22,Vencido
"Organización de Reactivos Biológicos e Inmunología, S.A. de C.V.",Av. Coyoacan No. 826,Del Valle,03100,Benito Juárez,D.F.,09003020025,13-sep.-06,"ESTÉRILES BIOTECNOLÓGICOS: Suspensión
inyectable en jeringa.",Vigente,Suspensión temporal del 01-03 22 al 01-03-24,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Perrigo de México, S.A. de C.V.",Av. Industria Automotriz No. 3089,Parque Industrial Saltillo Ramos Arizpe,25900,Ramos Arizpe,Coahuila,05027020001,14-mar.-00,SÓLIDOS ORALES: Polvo para reconstituir.,Revocada,Suspensión definitiva el 18 de abril de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Pfizer, S.A. de C.V.",Km. 63 Carr. México Toluca,Zona Industrial,50140,Toluca,Edo. de México,15106020012,03-ene.-23,"SÓLIDOS: Tabletas o Comprimidos, Tabletas
efervescentes, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo.  LÍQUIDOS: Solución,
Suspensión, Jarabe; SEMISÓLIDOS: Gel, Pomada.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos y Semisólidos.",223300516A1418,12-dic.-22,21-jul.-23,Vigente
"Pharmacas, S.A. de C.V.",Carr. México-Toluca Km. 45,Juárez,52740,Ocoyoacac,Edo. de México,15062020002,05-sep.-05,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir.",Vigente,Suspensión temporal de actividades del 24 de abril de 2017 al 25 de abril de 2019,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Pharmacia & Upjohn, S.A. de C.V.",Calle 1 Sur No. 112 Lote 8 Mz. VI,Parque Industrial Toluca 2000,50200,Toluca,Edo. de México,15106020016,07-oct.-09,SÓLIDOS ORALES: Polvo para reconstituir.,Revocada,Suspensión definitiva desde 01 de agosto de 2018,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Pharmacos Abug, S.A. de C.V.",Lago Ginebra No. 359,5 de Mayo,11470,Miguel Hidalgo,D.F.,09011020007,04-ago.-99,SÓLIDOS ORALES: Tabletas.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Pharmacos Exakta, S.A. de C.V.",Av. Niño Obrero No. 651,Chapalita Sur,45040,Guadalajara,Jalisco,14039020012,26-ago.-02,"ESTÉRILES: Ungüento oftálmico, Solución oftálmica.",Vigente,Vigente,Vigente,"ESTÉRILES: Ungüento oftálmico, Solución oftálmica.",213300129X0171,11-ago.-22,11-feb.-25,Vigente
"Pharmagen, S.A. de C.V.",Adolfo López Mateos No. 68 Bis,Cuajimalpa,05000,Cuajimalpa,D.F.,09005020002,19-mar.-01,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, polvo para reconstituir; LÍQUIDOS ORALES: Solución, Suspensión.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Pharmaservice, S.A. de C.V.",Calle 3 No. 28,Zona Industrial Benito Juárez,76120,Querétaro,Querétaro,22014020005,07-jul.-15,"ESTÉRILES: Solución inyectable en frasco ámpula, Solución inyectable en ampolleta, Liofilizado para solución inyectable en frasco ámpula. Emulsión inyectable en frasco ámpula, Emusión inyectable en ampolleta, Suspensión inyectable en frasco ámpula, Suspensión inyectable en ampolleta.",Vigente,Vigente,Ninguna,Estériles.,CAS/SELS/6637/2020,28-may.-20,28-nov.-22,Vencido
"Praxair México, S. de R.L. de C.V.",Ejido Pajaritos S/N,Gavilán Allende,96380,Coatzacoalcos,Veracruz,30039020001,21-abr.-15,GASES MEDICINALES: Bióxido de carbono en forma líquida y gas.,Vigente,Vigente,Ninguna,"Gases medicinales: Bióxido de
carbono.",223300CT110141,30-ene.-23,30-jul.-25,Vigente
"Praxair México, S. de R.L. de C.V.","Carretera Otumba-Ciudad
Sahagún Km 1+113,",Zona Industrial,43998,Tepeapulco,Hidalgo,13061020002,25-ago.-21,Gases Medicinales: Oxígeno Medicinal,Vigente,Vigente,Ninguna,Gases medicinales: Oxígeno.,"223300129X0048,
223300IT040684",20-ene.-23,20-jul.-25,Vigente
"Praxair México, S. de R.L. de C.V.",Av. Independencia Ote. No. 300,Zona Industrial Toluca,50070,Toluca,México,15106020011,09-jul.-14,"GASES MEDICINALES: Óxido nitroso, Oxígeno medicinal.",Vigente,Vigente,Ninguna,"Gases medicinales: Oxígeno, Óxido nitroso.",223300EL530846,01-sep.-22,01-mar.-25,Vigente
"Praxair México, S. de R.L. de C.V.",Camino Mesón del Norte No. 100,Parque Industrial Santa María,25903,Ramos Arizpe,Coahuila,"Autorización
Temporal por COVID-19",04-ago.-21,Gases Medicinales: Oxígeno,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Praxair México, S. de R.L. de C.V.",Calle 2 No. 2023,Zona Industrial,44900,Guadalajara,Jalisco,14039020019,04-nov.-16,Gases Medicinales: Oxígeno medicinal.,Vigente,Vigente,Ninguna,Gases Medicinales: Oxígeno.,213300CT110372,10-nov.-21,04-may.-22,Vencido
"Praxair México, S. de R.L. de C.V.","Av. Principal Manzana 30, Lote 217 A/B",Parque Industrial Tepeji del Río,42850,Tepejí del Río,Hidalgo,13063020003,09-feb.-16,"Gases Medicinales: Oxígeno, Nitrógeno, Argón.",Vigente,Vigente,Ninguna,"Gases Medicinales: Oxígeno, Nitrógeno, Argón.",213300CI110050,20-may.-21,22-jul.-23,Vigente
"Praxair México, S. de R.L. de C.V.",Av. de la Juventud No. 614 Norte,Fracc. Industrial Nogalar,66480,Monterrey,Nuevo León,19039020004,08-ene.-15,"Gases Medicinales: Oxígeno, Nitrógeno, Dióxido de Carbono, Mezcla de aire (Oxígeno 21% / Nitrógeno 79%).",Vigente,Vigente,Ninguna,"Gases medicinales: Oxigeno, Nitrógeno, Dióxido de Carbono y Aire (Oxígeno 21%/ Nitrógeno 79%)",COFEPRIS-CAS-SELS- 19246-2022,30-nov.-22,30-may.-25,Vigente
"Praxair México, S. de R.L. de C.V.",Vía Matamoros No. 700,Garza Cantú,64550,"San Nicolás de
los Garza",Nuevo León,19046020002,11-feb.-15,"Gases Medicinales: Oxígeno medicinal, Nitrógeno
medicinal.",Vigente,Vigente,Ninguna,"Gases Medicinales: Oxigeno y
Nitrogeno","223300IT040014,
213300129X0301",25-jul.-22,25-ene.-25,Vigente
"Praxair México, S. de R.L. de C.V.","Carretera Nuevo Teapa El
Chapo Km. 1.5",El Chapo,96400,Coatzacoalcos,Veracruz,30039020002,21-oct.-19,"GASES MEDICINALES: Oxígeno Medicinal y
Nitrógeno.",Vigente,Vigente,Ninguna,"Gases medicinales: Oxigeno y
Nitrógeno",223300516A0943,24-ago.-22,06-feb.-23,Vencido
"Praxair México, S. de R.L. de C.V.",Robles No. 219,Fracc. Industrial Bruno Pagliai,91697,Tejeria,Veracruz,Autorización Temporal por COVID-19,05-ago.-21,Óxígeno Medicinal,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Praxair México, S. de R.L. de C.V.",Aut. México-Querétaro Km. 32.5,Lechería,54900,Tultitlan,México,15109020001,20-jun.-16,"Gases: Mezclas de óxido nítrico balance nitrógeno, Oxígeno medicinal, Nitrógeno medicinal, Aire, Mezcla de Oxigeno balance Helio, Helio, Argón.",Vigente,Vigente,Ninguna,"balance nitrógeno, Oxígeno medicinal, Nitrógeno medicinal, Aire, Mezcla de Oxigeno balance",213300CI110031,08-mar.-21,03-ago.-23,Vigente
"Praxair México, S. de R.L. de C.V.",Calle 1 Poniente No. 126,Ciudad Industrial Nueva Tijuana Otay,22000,Tijuana,Baja California,02004050003,22-mar.-21,Gases Medicinales: Oxígeno,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Probiomed, S.A. de C.V.",Yacatas No. 307,Narvarte,03020,Benito Juárez,D.F.,09003020017,23-ene.-02,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Grageas, Grageas  de liberación prolongada.",Vigente,Vigente,Ninguna,Sólidos orales.,223300IT040187,17-jun.-22,17-dic.-24,Vigente
"Probiomed, S.A. de C.V.",San Esteban No. 88,Santo Tomás,02020,Azcapotzalco,D.F.,09002020001,30-ene.-09,"ESTÉRILES BIOTECNOLÓGICOS: Suspensión
inyectable en frasco ámpula, Solución inyectable en frasco ámpula, Solución inyectable en jeringa, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,Estériles Biotecnológicos.,223300EL530694,27-oct.-22,27-abr.-25,Vigente
"Probiomed, S.A. de C.V.",Maíz No. 20,Granjas Esmeralda,09810,Iztapalapa,D.F.,09009020009,21-sep.-15,SÓLIDOS ORALES: Tabletas recubiertas; ESTÉRILES: Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio.,Revocada,Suspensión definitiva el 21 de septiembre de 2016,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,"Sólidos orales, Estériles.",143300IT010231,26-mar.-14,03-mar.-16,Vencido
"Procter & Gamble Manufacturing México, S. de R.L. de C.V.",San Andrés Atoto No. 326,San Francisco Cuautlalpan,53560,Naucalpan de Juárez,México,15057020008,07-jun.-17,"SÓLIDOS: Tabletas o comprimidos, Granulado; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Ungüento.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, y Semisólidos.","213300EL530130,
213300EL530496",16-abr.-21,16-oct.-23,Vigente
"Productos Científicos, S.A. de C.V.",Nicolas San Juan No. 1046,Del Valle,03100,Benito Juárez,D.F.,09003020001,19-ago.-21,"SÓLIDOS: Tabletas o Comprimidos, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe, Emulsión, SEMISÓLIDOS: Supositorio, Crema, Gel, Óvulo, Pomada; ESTÉRILES: Solución nasal; ESTÉRILES HORMONALES: Suspensión inyectable en ampolleta, solución inyectable en ampolleta,
Solución inyectable en jeringa, Suspensión inyectable en jeringa; SEMISÓLIDOS HORMONALES: Ungüento, óvulos.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Estériles, Estériles Hormonales, Semisólidos Hormonales.",233300516A0152,16-feb.-23,06-oct.-23,Vigente
"Productos Farmacéuticos Collins,
S.A. de C.V.",Av. López Mateos No. 1938,Agua Blanca Industrial,45235,Zapopan,Jalisco,14120020012,26-ene.-15,"SÓLIDOS ORALES: Tabletas, Tabletas masticables, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe, Vino medicinal; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada; ESTÉRILES: Solución inyectable en ampolleta, Solución oftálmica, Solución ótica, Solución nasal; SÓLIDOS ORALES BETALACTÁMICOS:
Tabletas, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir; ESTÉRILES BETALACTÁMICOS: Polvo para suspensión inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos, Estériles, Sólidos orales Betalactámicos, Estériles- Betalactámicos.",233300516A0458,24-abr.-23,30-nov.-23,Vigente
"Productos Farmacéuticos Collins,
S.A. de C.V.",Ciprés No. 1677,Del Fresno,44900,Guadalajara,Jalisco,14039020020,21-ene.-16,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas;
SEMISÓLIDOS: Crema; ESTERILES: Solución Oftálmica, Solución Nasal.",Vigente,Vigente,Ninguna,"Sólidos orales, Semisólidos, Estériles.",CAS-SELS-9298-2022,08-jul.-22,08-ene.-25,Vigente
"Productos Farmaceuticos Collins,
S.A. de C.V.",Calle Melchor Ocampo No. 1590,El Vigia,45140,Zapopan,Jalisco,14120020019,06-jun.-22,"Sólidos: tabletas, tabletas masticables, tabletas recubiertas y cápsulas de gelatina dura",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Productos Farmacéuticos, S.A. de C.V.",Lago Tangañica No. 18,Granada,11520,Miguel Hidalgo,D.F.,09011020006,19-jul.-07,"LÍQUIDOS NO ORALES: Emulsión, Suspensión, Solución shampoo; SEMISÓLIDOS: Crema, Pomada.",Revocada,Suspensión definitiva el 14 de diciembre de 2017,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
